100.00 105.00 110.00 
200.00 205.00 210.00 
300.00 305.00 310.00 
400.00 405.00 410.00 
500.00 505.00 510.00 
600.00 605.00 610.00 
700.00 705.00 710.00 
101.00 106.00 111.00 
201.00 206.00 211.00 
301.00 306.00 311.00 
401.00 406.00 411.00 
501.00 506.00 511.00 
601.00 606.00 611.00 
701.00 706.00 711.00 
102.00 107.00 112.00 
202.00 207.00 212.00 
302.00 307.00 312.00 
402.00 407.00 412.00 
502.00 507.00 512.00 
602.00 607.00 612.00 
702.00 707.00 712.00 
103.00 108.00 113.00 
203.00 208.00 213.00 
303.00 308.00 313.00 
403.00 408.00 413.00 
503.00 508.00 513.00 
603.00 608.00 613.00 
703.00 708.00 713.00 
104.00 109.00 114.00 
204.00 209.00 214.00 
304.00 309.00 314.00 
404.00 409.00 414.00 
504.00 509.00 514.00 
604.00 609.00 614.00 
704.00 709.00 714.00 
